judul_film,ringkasan_sinopsis,genre
Claudia/Jasmine,Claudia/jasmine mengisahkan tentang seorang perempuan bernama claudia (kirana larasati). Ternyata claudia memiliki pandangan tersendiri terhadap sesuatu yang sangat absurd yaitu cinta. Apabila banyak orang yang ingin mendapatkan cinta maka mereka harus sibuk mencarinya ternyata claudia memiliki keyakinan lain. Yaitu claudia percaya bahwa cinta bisa didapatkan dengan menunggu. Ia percaya bahwa cinta bukan hanya bisa didapatkan dengan pencarian namun juga penantian.,Komedi
Coblos cinta,Coblos cinta mengisahkan tentang bella (nadia saphira) dan aldi (tommy kurniawan) yang selama ini terkenal di kampus mereka sebagai dua orang yang sering kali saling berselisih. Hingga kemudian perselisihan tersebut semakin menjadi ketika diadakan pemilihan ketua bem (badan ekeskutif mahasiswa). Dan dua orang tersebut ternyata mencalonkan diri untuk menjadi ketua bem. Hal tersebut tentu saja membuat persaingan antara mereka berdua semakin meruncing. Kedua orang tersebut sama-sama memiliki keinginan kuat untuk bisa memenangkan pemilihan ketua bem tersebut. Mereka berdua pun langsung mengandalkan teman-teman mereka untuk menjadi tim sukses mereka. Dan ternyata dua orang tersebut memiliki cara masing-masing untuk bisa memenangkan pemilihan ketua bem tersebut. Bella dan tim suksesnya tetap mengandalkan promosi yang benar dan melakukan usaha yang baik untuk bisa mengajak kawan-kawan kampusnya yang lain untuk memilih bella. Bella meyakini dengan cara yang jujur tersebut maka akan mengundang simpati banyak orang dan membuatnya memiliki kans besar untuk terpilih sebagai ketua bem.,Komedi
Comic 8,Delapan anak muda dari berbagai latar belakang dan kisah hidup secara kebetulan merampok bank pada waktu yang bersamaan.,Komedi
Dari pintu ke pintu,Cerita tentang kegiatan sales girl. Di antara mereka ada yang bekerja dengan jujur dan ada yang memanfaatkan pekerjaan itu untuk tujuan-tujuan tercela. Kelompok yang dipimpin Sri Dodot (Illa Doth) merupakan kelompok yang jujur dan bekerja dengan baik. Sebaliknya kelompok yang dipimpin Tante Dien (Tien Kadaryono) bekerja untuk tujuan memata-matai isi rumah guna informasi bagi para tukang pukul Tante Dien yang akan merampok. Agar memperoleh informasi yang akurat anak buah Tante Dien bersedia diajak kencan pemilik rumah yang didatanginya. Usaha mereka ini kemudian tercium petugas hukum. Atas bantuan Sri Dodot Polisi berhasil meringkus kelompok yang menyimpang itu.,Komedi
Dedemit gunung Kidul,Dedemit gunung kidul menceritakan tentang rodney seorang pengusaha yang memiliki dua putri bernama vicky dan jane. Rodney memiliki hutang pada mark seorang gembong mafia. Mark sendiri selalu berpenampilan bak pengusaha bertangan dingin. Karena rodney tak mampu membayar hutang-hutangnya mark meminta jaminan dengan menjadikan putri rodney sebagai istrinya.,Komedi
Demi ucok,Glo tidak ingin menjadi seperti ibunya: Menikah melupakan mimpinya dan hidup membosankan selamanya. Dia ingin mencapai mimpinya: membuat film. Ibunya memiliki satu tahun lagi untuk hidup mencoba untuk membuat putrinya hidup seperti dia: Menikah hidup untuk orang lain dan hidup bahagia selamanya. Jadi pertempuran dimulai.,Komedi
Depan bisa belakang bisa,"Dono, Kasino, dan Indro bertindak sebagai detektif dalam sebuah biro penyelidik Depan Bisa Belakang Bisa. Kasino yang bergaya seperti Sherlock Holmes, berperan sebagai atasan Dono dan Indro. Suatu ketika mereka mendapatkan order untuk mengamankan pameran permata yang dilakukan investor asal Jepang, Satomata. Namun dilain pihak, muncul tawaran dari Perusahaan Asuransi untuk mengawasi permata, karena Pihak Asuransi menilai Satomata melakukan kecurangan. Dono bekerja di Pihak Satomata, sementara Indro bekerja di pihak asuransi. Indro akhirnya keluar dari biro,namun bergabung kembali setelah Kasino sepakat untuk masalah keterbukaan honor.Dono bersama wanita Jepang, Michiko (Eva Arnaz) melarikan Permata, karena ternyata Satomata melakukan kecurangan untuk mengelabui Asuransi. Satomata dan Asuransi akhirnya berebut permata yang justru hancur dilindas Satomata. Ternyata permata yang asli sudah diamankan Michiko yang ternyata adalah Gadis asal Bukit Tinggi bernama Siti Hadijah.",Komedi
Di Bawah Lindungan Ka'bah,Tumbuh di Sumatera Barat pada tahun 1920 Hamid dan Zainab berasal dari keluarga dari kelas sosial yang sangat berbeda. Hamid miskin sementara Zainab kaya. Hamid menerima beasiswa dari ayah Zainab dan ibu Hamid bekerja untuk keluarga Zainab. Hamid dan Zainab jatuh cinta dan bermimpi menemukan cara bagi masyarakat untuk menerima persatuan mereka dan juga untuk melakukan ziarah ke Mekkah.,Komedi
Duyung Ajaib,Si Otong (Benyamin S.) anak satu-satunya seorang janda (Wolly Sutinah) memaksakan diri untuk bekerja sebagai pelaut. Dalam sebuah kesempatan berlayar Otong memancing ikan di laut dengan umpan buah apel. Umpan itu disantap oleh ikan duyung. Otong tak kuat menariknya dan jatuh ke laut. Otong dinyatakan meninggal dunia dan berita itu sampai ke telinga ibunya. Ternyata Otong bukannya hilang melainkan terdampar di suatu pulau bersama ikan duyung. Karena hukum adat dipantai itu Otong diharuskan mengawini ikan duyung tersebut. Sampai dirumah ikan duyung dipelihara diempangnya dan sempat dikomersilkan. Sebuah keajaiban terjadi ikan duyung itu berubah menjadi wanita cantik (Nenny Triana). Maka Otong pun mantap menjadi suami ikan duyung cantik itu. Tetapi suatu ketika si duyung cantik itu melihat air laut dan membuatnya ingin kembali bersama rekan-rekan sesama ikan duyung. Akhirnya duyung cantik itu terjun ke laut dan berubah seperti semula ikan duyung yang jelek dan gemuk (Ijah Bomber). Tinggallah si Otong meraung-raung di pinggir pantai,Komedi
Enak Sama Enak,Wawan Kudil dan Ade mahasiswa abadi yang Kost di sebuah tempat Kost milik Tante Ros. Tante Ros yang janda suka dengaqn Ade sehingga Ade bebas dari beban bayar Kost dan makan membuat Wawan dan Kudil iri kepada Ade. Tempat Kost Wawan dan kawan-kawan bersebelahan dengan tempat Kost perempuan dimana Susi dan Asih tinggal. Susi berpacaran dengan Wawan dan Asih berpacaran dengan Kudil. Kata orang sih Susi dan Asih dapat musibah mendapatkan Wawan dan Kudil yang memang tidak ganteng dan nyaris jelek banget tetapi entah kenapa Susi dan Asih mau dengan Wawan dan Kudil. Selidik punya selidik Wawan dan Kudil orang kaya di kampung mereka masing-masing makanya Susi dan Asih mau sama mereka. Masalah datang ketika anak baru bernama Jenifer ikut Kost di tempat Kost Susi dan Asih. Maka berbagai cara dilakukan Wawan dan kawan-kawan untuk mendapatkan Jenifer. Wawan dan Kudil yang sudah punya Susi dan Asih ekstra keras untuk mendekati Jenifer sementara Ade harus mensiasati Tante Ros agar bisa mendekati Jenifer. Kudil minta dibelikan mobil ke Bapaknya di kampung. Bapak Kudil kemudian mengirim mobil melalui Toro beserta sopirnya. Tapi ketika sampai di tempat Kost tante Ros Toro bertemu Jenifer yang cantik dan seksi membuat Toro tergiur untuk mendapatkannya. Toro segera berkenalan dengan Jenifer dan memaksa bertamu ke tempat Kost Jenifer. Bahkan ia mengaku bahwa mobil yang dibawanya adalah mobil miliknya. Kudil melapor kepada Bapaknya karena mobil yang dijanjikan tidak kunjung datang. Bapak Kudil akhirnya datang ke Jakarta untuk mencari Toro yang belum juga mengirim mobil buat Kudil. Tapi kekacauan malah terjadi karena bapak Kudil terpincut juga oleh kecantikan dan kemolekan Jenifer. Bahkan ia berencana menetap di tempat Kost tante Ros. Kudil kecewa tetapi tidak bisa berbuat apa-apa.,Komedi
Epen Cupen The Movie,Celo seorang pemuda asal Papua mendorong ayahnya untuk pergi mencari saudara kembar yang hilang sejak kecil. Celo berangkat dengan mengikuti instruksi dari mimpi ayahnya yang melihat saudara kembarnya berada di medan perang. Setibanya di kota Jayapura kebetulan Celo bertemu dengan Babe seorang pengusaha bangkrut dari Medan dan memintanya untuk melihat di mana medan perang itu. Babe terlibat banyak utang hanya membuat masalah Celo menjadi rumit. Mereka dikejar oleh penagih utang dan bersembunyi di gudang kargo bandara tanpa sadar mereka dibawa lewat udara ke Jakarta. Di Jakarta Celo dan Babe terlibat banyak masalah baru terutama ketika mereka mengejar Nato Beko geng-geng itu lagi bertarung dengan perkebunan komodo milik geng William Male. Celo jujur terpisah harus menemukan saudara kembarnya dia terlibat dalam konflik antar geng urban sementara Babe licik juga terus memanfaatkan cello untuk mendapatkan keinginannya.,Komedi
Ferocious Female Freedom Fighters,Spoof based (loosely) pada film Indonesia lama yang telah mengeluarkan soundtrack asing yang lama dan digantikan oleh lagu berbahasa Inggris. Karakter utama adalah pegulat wanita yang telah memutuskan bahwa dia tidak lagi ingin bergulat tetapi yang ibunya (mantan pegulat sendiri) ingin dia terus bergulat untuk menghasilkan uang agar kakaknya dapat menjalani operasi (pembuluh darahnya mengalir ke tengkoraknya daripada selangkangannya yang konon akan menyebabkan kepalanya meledak jika dia terlalu bersemangat). Selama perjalanan ceritanya (di mana sejumlah perkelahian terjadi) dia berteman dengan seniman bela diri Elvis-impersonating.,Komedi
Finding Srimulat,Finding Srimulat mengangkat kisah tentang pasangan muda bernama Adika Fajar (Reza Rahadian) dan Astrid Lyanna (Rianti Cartwright). Mereka merupakan sepasang anak muda yang sama-sama mempunyai mimpi untuk bisa hidup mandiri. Adika membangun kariernya di sebuah perusahan penyelenggara acara dan Astrid malah melawan keinginan orangtuanya untuk menyelesaikan kuliah demi menekuni bisnis daringnya. Namun kehamilan Astrid mau tak mau membuat Adika harus mempersiapkan segala sesuatunya dengan lebih. Sementara di sisi lain pengkhianatan rekan kerja Adika JoLim (Fauzi Baadilla) justru menempatkan perusahaan penyelenggara acara tempat Adika bekerja berada di jurang kebangkrutan. Di tengah kegalauannya secara tak sengaja Adika mulai mendapatkan titik terang ketika mobilnya mogok di sebuah restoran milik Kadir salah satu dari legenda Srimulat yang tersisa. Adika yang sejak kecil memiliki kenangan khusus terhadap Srimulat mulai menapaki kemungkinan membawa Srimulat kembali lewat sebuah pementasan unik.,Komedi
Generasi Micin,Kevin (Kevin Anggara) merasa bahwa sekolah adalah tempat yang membosankan ia hanya memiliki 3 orang teman yaitu Bonbon (Teuku Rizky Muhammad) Dimas (Joshua Suherman) dan Johanna (Clairine Clay). Kevin tidak memiliki prestasi yang menonjol apalagi keluarganya selalu menanyakan tujuan Kevin setelah lulus nanti. Suatu hari Kevin menemukan sebuah website yang menantangnya melakukan hal-hal iseng di sekolahnya. Kevin pun melakukannya dan ternyata ia menikmatinya. Kini Kevin menjadi jahil dan selalu berusaha melakukan keisengan di sekolahnya siapapun tidak lepas dari target kejahilan Kevin.,Komedi
Gila Lu Ndro,Film ini menceritakan mengenai kelakuan Indro,Komedi
Gue kapok jatuh cinta,Gue kapok jatuh cinta mengisahkan tentang sekelompok pemuda yang saling bersahabat satu sama lain. Mereka adalah david (oka antara) once (wisnu) andi (big dicky) eddie (stan lee) dan piyu (dude herlino). Layaknya anak muda lain ada banyak hal yang ingin mereka coba sekaligus untuk mencari tahu. Tidak terkecuali satu hal ini yaitu cinta. Namun satu hal tersebut memang tersembunyi sehingga mereka harus mengungkapkannya perlahan demi perlahan. Berbagai pengalaman tentang cinta pun sudah mereka rasakan. Ada yang manis pahit bahkan yang getir. Semua itu mereka rasakan untuk nantinya bisa mendefinisikan apa itu cinta? Namun ada satu orang yang paling malang dari para sahabat tersebut karena bersentuhan dengan cinta. Dia adalah david karena dia baru saja merasakan sakit hati akibat cintanya yang diputus oleh kekasihnya tanpa alasan yang jelas. Padahal david selama ini sudah begitu mencintai orang yang ia puja tersebut. Namun ternyata kekasihnya malah membalas cinta milik david dengan sangat pahit. Ia membalasnya dengan getir sehingga membuat david tidak berdaya bahkan putus asa. Ia mulai kehilangan semangat hidupnya setelah ditinggal pergi oleh kekasihnya tersebut. Karena tak tega melihat keadaan david akhirnya para sahabatnya yang lain berinisiatif untuk membantu david agar bisa bangkit dari keterpurukannya. Mereka kemudian mengenalkan david kepada dunia malam dari jakarta. Dunia yang penuh gegap gempita pesta dan keriuhan yang akan mampu menghilangkan semua kegundahan milik david. Awalnya david menolak ajakan tersebut namun karena terus dipaksa akhirnya david setuju juga. Mereka semua kemudian mulai tenggelam dalam dunia malam jakarta. Mereka berpesta gila-gilaan untuk bisa menghibur david. Walaupun sebenarnya ketiga sahabatnya yang lain juga sedang merasakan sakit hati karena cinta. Ternyata cinta mereka banyak yang bertepuk sebelah tangan. Namun mereka semua gengsi untuk mengakui hal tersebut. Dan menggunakan alasan untuk membahagiakan david padahal mereka juga sedang menghibur diri mereka sendiri. Cinta seakan telah menjadi momok menakutkan bagi para sahabat tersebut. Seakan-akan cinta diciptakan hanya untuk menyakiti mereka saja. Gue kapok jatuh cinta adalah sebuah film yang dirilis pada tahun 2006.,Komedi
Inem Pelayan Sexy,Brontoyudo direktur sebuah perusahaan jatuh cinta pada seorang pelayan bernama Inem. Hal ini menyebabkan istri-istri para pegawainya saling bergunjing membuat Inem sendiri menjadi serba salah.,Komedi
Insya Allah Sah 2,Raka (Pandji Pragiwaksono) yang jenaka terjebak dalam sebuah taksi online bersama Gani (Donny Alamsyah) seorang buronan polisi yang baru kabur dari penjara dan sedang dikejar oleh sekelompok orang bersenjata anak buah Freddy Coughar (Ray Sahetapy).Gani meminta bantuan Raka untuk bisa lolos dari baku tembak. Rakapun setuju akan membantu dengan mengajukan syarat Gani harus bernazar akan bertaubat. Dalam keadaan terpaksa Gani menyetujui syarat Raka dan berkat bantuan Raka Ganipun lolos dari bahaya. Namun keadaan berbalik niat baik Raka malah menjadikan dirinya masuk dalam ancaman Gani. Gani mewajibkan Raka untuk selalu mengikutinya kemanapun pergi. Rakapun menjadi teman seiring Gani. Walaupun dalam tekanan Gani Raka terus mengingatkan Gani akan nazarnya dan dengan berbagai alasan Gani tak menurutinya ia berjanji bertaubat setelah urusannya selesai.Urusan utama bagi Gani adalah mencari bekas sahabatnyaYoga (Miller Khan) yang telah mengkhianatinya hingga Gani dipenjara. Soal lainnya adalah tentang Mutia (Luna Maya) yang sedang hamil anak nya.Perjalanan Raka bersama Gani penuh aksi komedi action dan situasi yang tak terduga yang kadang belum pernah dialami oleh Raka dalam hidupnya.,Komedi
Kabayan Jadi Milyuner,Ketenangan sebuah kampung di Jawa Barat tiba-tiba saja terusik karena Bos Rocky ingin membeli tanah mereka untuk dijadikan resort. Tapi Kabayan si pemuda polos namun cerdik muncul untuk membela.,Komedi
Kasinem Is Coming,Kasinem melakukan pelarian ke Singapura demi mencapai kehidupan yang lebih baik. Namun keputusannya itu tidak mendapat restu yang sepenuhnya dari sang ibu.,Komedi
Kawin kontrak lagi,"Jody kini sudah beranjak kuliah. Dirinya menjadi playboy dikalangan warga kampus dan menjadi panutan bagi tiga perjaka kampus, yakni Fredo, Hakim, dan Menfo. Ketiganya selalu mencoba mengikuti gaya-gaya Jody dalam menjalankan kehidupan cintanya, tetapi kurang berhasil. Selesai sebuah kuliah, Jody mendapat telepon dari Ibunya yang berkata bahwa ayah Jody terjerat kasus korupsi. Hal itu membuat Jody tidak mempunyai aset dan terpaksa mengekos di rumah kos kecil dekat kampus. Sohibnya Dika dan Rama di film pertama sudah bahagia. Dika masih marah dengan Jody yang merebut pacarnya, sedangkan Rama dan Isa akan menikah dan pindah ke Australia. Namun keduanya memberikan “sumbangan terakhir” bagi Jody.Ketika Jody menaiki angkot, ia sadar bahwa sopir angkotnya adalah Kang Sono. Kang Sono terpaksa menyambung hidup sebagai sopir angkot setelah Desa Sukasararean digrebek karena usaha kawin kontrak yang dijalankan. Dan sebuah telepon dari Teh Euis, berkata bahwa Jody harus ke Desa Pakelonan untuk menemaninya. Kang Sono pergi kesana terlebih dahulu, ia mengutarakan maksud kawin kontrak kepada pimpinan Yayasan Penyalur Wanita Pesona Singagaung, Maung, yang menerapkan sistem militer kepada seluruh wanita yang ada dibawahnya. Setelah terjadi kesepakatan, Jody, Fredo, Hakim, dan Merfo pergi ke Desa Pekalonan untuk kawin kontrak.Disana, rupanya beragam wanita disajikan. Fredo memilih Viva, seorang gadis penari. Hakim memilih Kokom, seorang gadis cermat. Dan Menfo memilih Sassi, seorang perawan. Malam dihabiskan Fredo dan Hakim dengan mendapat pemerasan karena selalu ditagih uang. Sementara Menfo yang mengidap ejakulasi dini, diberikan waktu oleh Sassi untuk memperbaikinya. Apabila para pria tidak mampu membayar, maka mereka akan diberikan Barandot, sebuah makhluk buas yang disimpan dibawah tanah dengan makanan manusia, Barandot adalah peliharaan Maung. Fredo dan Hakim akhirnya pergi duluan meninggalkan Desa karena tidak tahan. Sementara Menfo menyukai Sassi yang ternyata telah dijual oleh orangtuanya demi melunasi pinjaman orangtuanya kepada Maung.Situasi menjadi pelik kala Sassi kabur dan bersembunyi di rumah Teh Euis yang tengah hamil. Teh Euis kini hidup menjadi seorang pengurus salon dengan “pelunas ngidam”nya, yaitu si Jody. Sassipun akhirnya ditangkap untuk dijadikan wanita yang akan dikirim menjadi pelacur di Jakarta. Sementara Kang Sono yang dianggap memberi bisnis baru bagi yayasan Maung, diberikan jabatan sebagai pemasok para wanita ke Jakarta yang sebelumnya dipegang oleh Fachri, penjahat yang menyengsarakan Desa Sukasararean. Karena kurang berkutik, Kang Sonopun menerimanya. Pada hari dikirimkannya para wanita ke Jakarta yang dikontrol oleh Sus Miranda, Teh Euis, Kang Sono, Jody, dan pacar Jody yang datang, Giselle, membantu membebaskan para wanita itu. Berkat trik hamil Teh Euis, Kang Sono, Jody, dan Giselle berhasil masuk. Giselle dan Jody pergi ke para penyiap baju seragam dan menghajar mereka, lalu memasukkan ulat bulu. Sementara Kang Sono pergi mencari Sassi dan Menfo yang ikut ditahan bersama Sassi karena dianggap membantu kaburnya Sassi.Kemudian, di saat serah-terima kloter wanita oleh Maung, semua wanita gatal karena ulat bulu dan berlarian. Jeng Miranda menganggap kloter itu gagal, tetapi masih menyimpan Sassi. Sassi, Menfo, Kang Sono, Giselle dan Jody yang ingin kabur tertangkap oleh anak buah Maung. Kecuali Sassi, yang lain akan dikorbankan satu-persatu ke Barandot. Lalu, Teh Euis datang dengan membawa keris kecil yang diterimanya dari seorang nenek yang ternyata memberikan kekuatan, menghancurkan seluruh anak buah Maung dan Maung dalam sekejap. Saat itu seluruh polisi yang menyamar sebagai warga mengungkapkan jati diri dan menyergap Maung dan rombongan.Film diakhiri dengan Hakim yang kembali dari kota dan Menfo yang keluar dari lubang Barandot dan berhasil membunuhnya.Lalu Teh Euis melahirkan dan mengatakan bahwa anak dia adalah anak Kang Sono dan Jody, tetapi kenyataannya anak Teh Euis kembar dan keduanya mirip dengan Abuba, yang padahal dikatakan oleh Teh Euis telah dikebiri.",Komedi
